X,Y,area real,Soccer,Basketball,Tennis,Ruins,ArtInstall,NGO,Government,Diplomatic,Coworking,Company,ArtGallery,Restaurant,Hotel,Cafe,Worship,Museum,Theatre,Hospital,University,School,clusterID
3954309,4012852,5856,0,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,1,1,0,6
3954316,4012862,5056,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,1,1,0,6
3954325,4012874,5542,0,0,0,0,0,0,1,0,0,0,0,4,0,3,0,0,0,1,1,0,6
3954261,4012882,6965,0,0,0,0,0,0,1,0,0,0,0,3,0,5,0,0,0,1,1,0,6
3954523,4012879,3816,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,6
3954340,4012866,4284,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,1,1,0,6
3954247,4012968,5883,0,0,0,0,0,0,0,0,0,0,0,5,0,5,1,0,0,1,1,0,6
3954204,4012989,5850,0,0,0,0,0,0,1,0,0,0,0,4,1,5,1,0,0,1,1,0,6
3953969,4013280,10126,0,0,0,0,0,0,2,0,0,0,0,17,1,9,2,0,0,2,1,0,0
3953986,4013288,10440,0,0,0,0,0,0,2,0,0,0,0,16,1,10,2,0,0,2,1,0,0
3953973,4013341,12648,0,0,0,0,0,0,2,0,0,0,0,21,1,10,2,0,0,2,1,0,0
3953986,4013320,11584,0,0,0,0,0,0,2,0,0,0,0,19,1,9,2,0,0,2,1,0,0
3953846,4013311,10368,1,0,0,0,0,0,1,0,0,1,0,13,1,7,3,0,0,2,0,0,5
3953969,4013304,10416,0,0,0,0,0,0,2,0,0,0,0,17,1,9,2,0,0,2,1,0,0
3953912,4013378,13650,1,0,0,0,0,0,2,0,0,1,0,23,1,12,3,0,0,2,1,0,5
3953893,4013516,12717,1,0,1,0,0,0,2,0,0,1,0,28,1,11,4,0,0,1,0,0,5
3953908,4013498,13360,0,0,1,0,0,0,2,0,0,1,0,28,1,11,4,0,0,1,0,0,5
3953885,4013473,12720,1,0,1,0,0,0,2,0,0,1,0,27,1,11,4,0,0,1,0,0,5
3953912,4013435,16269,1,0,1,0,0,0,2,0,0,1,0,27,1,13,4,0,0,2,1,0,5
3953936,4013649,11424,0,0,1,0,0,0,2,0,0,1,0,29,1,13,5,0,0,1,0,0,5
3949443,4014205,10890,0,1,1,0,1,1,0,0,0,0,0,4,3,3,4,0,0,0,1,0,8
3949316,4014513,25896,0,0,1,0,2,2,1,0,0,1,0,30,13,8,4,0,0,0,1,0,2
3949485,4014577,18471,0,0,1,0,2,2,1,0,0,1,0,45,25,13,5,0,0,0,1,0,2
3949490,4014678,19256,0,0,1,0,2,2,1,1,0,1,0,59,26,17,7,0,0,0,1,0,2
3949399,4014620,13335,0,0,1,0,2,2,1,0,0,1,0,40,22,10,7,0,0,0,1,0,2
3952067,4011586,5727,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,6
3954022,4014535,27500,0,0,0,0,4,1,4,1,0,0,6,35,0,9,7,1,0,2,1,0,4
3953987,4014499,15369,0,0,0,0,3,1,4,2,0,0,5,36,0,9,8,1,0,1,1,0,4
3954123,4014522,10920,0,0,0,0,3,1,4,1,0,1,3,37,0,6,7,1,0,2,1,0,4
3954076,4014630,12519,0,0,0,0,3,1,4,1,0,0,6,35,0,7,6,1,0,2,1,0,4
3954091,4014614,11990,0,0,0,0,3,1,4,1,0,1,6,36,0,7,5,1,0,2,1,0,4
3954160,4014583,13716,0,0,0,0,3,1,4,1,0,1,3,37,0,6,6,0,0,2,1,0,4
3954036,4014676,105,0,0,0,0,4,1,4,1,0,0,6,36,0,7,6,1,0,2,1,0,4
3954129,4014751,10640,0,0,0,0,3,1,4,0,0,0,5,37,0,7,5,0,0,2,1,0,4
3954066,4014855,3600,0,0,0,0,3,1,0,0,0,0,6,27,0,6,5,0,0,1,1,0,4
3954083,4014838,100,0,0,0,0,3,1,1,0,0,0,6,30,0,6,5,0,0,2,1,0,4
3952965,4012827,9295,0,0,2,0,0,2,1,1,0,1,1,6,2,0,5,1,0,0,4,0,7
3951062,4012129,3250,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3952531,4014145,8383,0,0,0,1,0,0,2,1,0,0,0,18,5,7,7,1,0,0,2,0,8
3952496,4014170,4000,0,0,0,1,0,0,2,1,0,0,0,17,4,7,6,1,0,0,2,0,8
3952470,4014216,3876,0,0,0,1,0,0,3,2,0,0,0,12,4,6,6,1,0,0,2,0,8
3952028,4012384,5512,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,1,0,0,6
3951932,4012408,4284,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,6
3951955,4012412,4935,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,6
