X,Y,area real,Soccer,Basketball,Tennis,Ruins,ArtInstall,NGO,Government,Diplomatic,Coworking,Company,ArtGallery,Restaurant,Hotel,Cafe,Worship,Museum,Theatre,Hospital,University,School,ID,clusterID
3949195,4014927,9009,0,0,0,0,1,1,1,0,0,0,0,11,7,4,2,0,0,0,0,0,534729,7
3950469,4015553,742,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,1,0,0,0,104307,3
3950117,4015525,2695,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,164472,0
3950074,4015544,3000,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,179520,0
3950057,4015552,2688,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,181668,0
3949423,4015523,2640,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,164406,3
3949456,4015525,1768,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,120856,3
3951390,4013612,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20937,4
3951062,4012129,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3152,3
3952204,4013072,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13695,4
3952196,4013074,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13698,4
3951469,4013743,414,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22836,3
3951390,4013676,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21930,4
3951403,4013675,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,21933,4
3951424,4013691,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14632,3
3951456,4013684,528,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,29272,4
3951446,4013705,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14638,3
3952039,4014401,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42460,3
3952036,4014438,77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,76972,4
3952038,4014438,91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,76986,4
3951418,4013516,680,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,31100,6
3954303,4013657,3300,0,0,0,0,0,0,2,0,0,0,0,13,0,6,0,0,0,0,0,0,170850,1
3954387,4013732,5488,0,0,0,0,0,0,2,0,0,0,0,10,1,7,2,0,0,0,0,0,200312,1
3954315,4013714,4928,0,0,0,0,0,0,2,0,0,0,0,13,0,7,1,0,0,0,0,0,200452,1
3954287,4013967,1980,0,0,0,0,0,0,0,0,0,0,0,5,1,1,2,0,0,0,0,0,125085,4
3951735,4014184,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29547,3
3951843,4014321,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20442,3
3951780,4014284,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30678,3
3951785,4014297,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30741,3
3951804,4014321,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31812,3
3951581,4014326,605,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,53060,3
3951916,4014351,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21254,3
3954832,4013384,1216,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,41368,3
3954782,4013629,2064,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,0,0,0,76524,3
3954775,4013611,1815,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,70158,3
3954786,4013606,1551,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,70169,3
3954800,4013602,2016,0,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,76608,3
3954670,4013634,1586,0,0,0,0,0,0,1,0,0,0,0,4,0,3,1,0,0,0,0,0,83057,1
3954166,4013513,3480,0,0,0,0,0,0,2,0,0,0,0,11,0,4,1,0,0,0,0,0,144384,1
3954209,4013544,3600,0,0,0,0,0,0,2,0,0,0,0,13,0,3,0,0,0,0,0,0,144504,1
3954179,4013495,3036,0,0,0,0,0,0,2,0,0,0,0,12,0,3,1,0,0,0,0,0,139127,1
3954202,4013561,4862,0,0,0,0,0,0,2,0,0,0,0,14,0,4,0,0,0,0,0,0,166972,1
3954241,4013611,3640,0,0,0,0,0,0,2,0,0,0,0,15,0,6,0,0,0,0,0,0,179928,1
3954219,4013668,6270,0,0,0,0,0,0,2,0,0,0,0,20,0,6,0,0,0,0,0,0,224136,1
3954219,4013632,4292,0,0,0,0,0,0,2,0,0,0,0,17,0,5,0,0,0,0,0,0,198476,1
3954057,4013606,4521,0,0,0,0,0,0,1,0,0,0,0,18,0,6,0,0,0,0,0,0,208791,1
3954952,4014410,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,72702,4
3955052,4014353,462,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,31332,3
3954941,4014436,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,86240,4
3954588,4014389,3060,0,0,0,0,0,0,1,0,0,1,0,5,0,1,2,0,0,1,0,0,175967,8
3954565,4014393,3186,0,0,0,0,0,0,1,0,0,1,0,6,0,1,2,0,0,1,0,0,186336,8
3954593,4014399,1920,0,0,0,0,0,0,1,0,0,1,0,5,0,1,2,0,0,1,0,0,165696,8
3954815,4014420,1197,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,93375,4
3954564,4014440,3060,0,0,0,0,0,0,1,0,0,1,0,6,0,1,2,0,0,1,0,0,192744,8
3954768,4014485,1970,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,107300,4
3954763,4014473,1233,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,96579,4
3954862,4014505,1240,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,107630,4
3954875,4014502,1341,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,96876,4
3954846,4014439,1200,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,107670,4
3954835,4014443,1290,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,107680,4
3954822,4014447,1750,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,107690,4
3954871,4014453,1548,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,96939,4
3954868,4014443,1584,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,96948,4
3954896,4014464,1590,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,107730,4
3954901,4014486,1116,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,96984,4
3954866,4014433,1503,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,97146,4
3954778,4014507,1639,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,122276,4
3954782,4014531,2136,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,133440,4
3954785,4014541,2004,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,133452,4
